Word,Count
\<returns>`EitherAsync&lt;L,\,343
A&gt;&gt;`</param>,333
match,330
code,326
=,321
A&gt;&gt;`</returns>,320
\name="\state"\>Initial\,311
keys,305
:,302
enumerable,302
Map,297
binary,291
value</returns>,288
\Either&lt;L,\,287
\EitherUnsafe&lt;L,\,287
\Validation&lt;FAIL,\,287
operator,286
Fail,282
A,281
can,273
tuple,260
each,259
`ma.Traverse<,256
\operator,\,256
0,254
<returns>Mapped,253
states,251
state</returns>,250
1,246
second,246
</returns>,243
null</exception>,240
expression,238
\state,\,234
\EitherAsync&lt;L,\,230
R,229
\list,\,226
elements,225
Convert,221
\name="\L"\>Left</typeparam>\,221
key,220
Equality,220
<returns>Applicative,219
\name="\fa"\>Applicative\,217
Get,217
\function,\,217
to</param>,214
\name="\A"\>Bound\,214
\name="\R"\>Right</typeparam>\,212
\A&gt;&gt;`,\,210
applicative,209
test,209
<returns>An,209
derived,208
zero,207
monad,206
otherwise,205
Applicative,203
resulting,202
value</param>,202
<returns>A,196
added</returns>,194
either,194
hash,193
'folder',192
structure,189
Match,189
\name="\fab"\>Function\,188
already,186
matches,183
Seq&lt;A&gt;&gt;`,178
TryOption&lt;A&gt;&gt;`,178
Try&lt;A&gt;&gt;`,178
Set&lt;A&gt;&gt;`,178
Arr&lt;A&gt;&gt;`,178
Option&lt;A&gt;&gt;`,178
HashSet&lt;A&gt;&gt;`,178
OptionUnsafe&lt;A&gt;&gt;`,178
Lst&lt;A&gt;&gt;`,178
\name="\self"\>Try\,175
ArgumentNullException,174
\cref="\ArgumentNullException"\>Throws\,174
argument,174
equal</returns>,172
case,172
For,170
completes,169
\name="\pred"\>Predicate</param>\,166
\name="\A"\>Type\,165
bigint,165
will,165
stack,164
<para>,162
</para>,162
IEnumerable&lt;A&gt;&gt;`,162
\name="\Fail"\>Delegate\,161
allowed,160
<remarks>Null,158
Invokes,158
IEnumerable,158
parser,157
input,156
application,156
range,154
option,154
computation</param>,153
conditional,151
Task&lt;A&gt;&gt;`,151
TryOptionAsync&lt;A&gt;&gt;`,151
TryAsync&lt;A&gt;&gt;`,151
OptionAsync&lt;A&gt;&gt;`,151
computation</returns>,150
adds,150
OptionUnsafe,149
=>,146
x</returns>,145
fold</param>,144
type-class,143
Maps,143
invoking,142
Return,140
set</returns>,140
var,137
right:,137
set</param>,137
Key,136
\name="\x"\>Left\,136
Value</remarks>,136
\name="\y"\>Right\,136
so,134
In,132
rhs</returns>,132
Find,131
Pattern,131
<returns>Returns,131
immutable,131
sets,131
fails</param>,130
applies,130
through,130
\operator),\,128
starting,128
value(typically,128
lists,128
\lists,\,128
it's,128
reduces,128
use,128
</remarks><returns>,127
\name="\S"\>State\,127
C&gt;&gt;`,126
Compare,124
left-identity,124
False,124
EitherUnsafe,124
but,124
</summary><remarks>,124
Lst,124
->,122
possible,121
\`ma.Traverse<L,\,121
another,121
<returns>,121
B&gt;&gt;`</returns>,118
last,117
otherwise</returns>,117
Some(x),115
add</param>,114
integer,114
Validation,114
takes,114
like,114
running,113
head,113
behaviour,111
successfully</param>,111
ignored,110
supplied,110
\name="\T"\>Type\,108
\name="\folder"\>Fold\,108
p,108
Note,108
add,108
\name="\key"\>Key\,108
\'Fold',\,107
\name="\range"\>Range\,106
\name="\self"\>Either\,105
</para><para>,105
Cond,105
non-null,105
fails,105
exist,105
item-map,104
otherwise.</returns>,104
ArgumentException,104
\cref="\ArgumentException"\>Throws\,104
they're,102
output,100
final,99
follow,99
of</param>,98
delegate,98
<returns>Folded,98
------------------------------------------------------------------------------,98
T,96
null.</param>,96
b,95
null,95
doesn't,95
holds,95
optional,95
instance,94
\name="\T"\>Element\,94
f(b,94
functor,94
\name="\R"\>Type\,93
empty,93
exception,93
C></returns>,92
example,92
c),92
order,92
\Func<B,\,92
results,91
produced,91
therefore,91
passed,91
\value,\,91
Partially,90
\name="\rhs"\>Right-hand\,89
</example>,89
threading,88
hash-code,88
-1,88
<returns>Aggregate,88
\Then,\,88
along,88
since,88
equivalent,87
<example>,87
\items,\,86
infinite,86
uses,86
L,85
Add,85
Take,85
\name="\Some"\>Delegate\,84
It,84
<returns>lhs,84
\that,\,84
Calculates,84
\name="\key"\>Key</param>\,84
An,83
All,83
'Fold',83
terminating,83
2,83
\argument,\,82
call,81
\name="\pred"\>Predicate\,81
\name="\lhs"\>Left-hand\,81
lhs,81
\name="\Succ"\>Delegate\,81
equals,80
Iterate,80
Project,80
provide,80
whether,80
must,80
Folds,80
find</param>,78
unwrapped,78
list</param>,78
OptionAsync,78
object,77
\name="\None"\>None\,77
mapped,77
\name="\fb"\>Applicative\,77
\name="\Some"\>Some\,77
{,76
\element,\,76
subtract,76
https://en.wikipedia.org/wiki/Fold_(higher-order_function),76
<returns>Hash,76
S,76
test</param>,76
extracted,75
you,75
tuples,75
three,75
\name="\None"\>Operation\,75
type</param>,75
series,74
representation,74
desired,74
map</returns>,74
\name="\value"\>Value\,74
constructor,74
Success,74
B</returns>,74
\name="\T"\>Enumerable\,74
delegate</returns>,73
back,72
\name="\value"\>Value</param>\,72
length,72
Construct,72
hyperbolic,72
Retrieve,71
array,71
\name="\None"\>Delegate\,71
Fold,71
Ctor,71
string,71
depending,70
get,70
functions,70
specified,69
conversion,68
numeric,68
fold,68
Exception,67
Monoid,67
Trys,67
other,67
computation</typeparam>,67
'Left',66
'Right',66
Invoke,66
\y,\,65
\name="\x"\>Value\,65
generate,65
<returns>Unit</returns>,65
matching,65
successfully,64
feeds,64
\name="\items"\>Items\,64
map</param>,64
</remarks>,63
existence,63
interface,62
indicates,62
operation</returns>,62
observable,62
default,61
ordering,61
\name="\self"\>The\,61
functor</returns>,61
items</returns>,61
\name="\list"\>Enumerable\,61
Projection,61
collection,61
\None,\,60
enumerable</returns>,60
index,60
'Either',60
Monad,60
\Succ,\,59
run,59
LINQ),58
\name="\T"\>Stack\,58
arguments,58
ImmutableArray,58
evaluate,58
values</param>,58
},58
\name="\A"\>The\,57
nothing,57
A</returns>,57
based,57
\name="\B"\>Type\,57
where,57
accumulator,56
arity,56
None(),56
\cref="\Exception"\>Throws\,56
more,56
left:,55
supplied.</returns>,54
\exists,\,54
FB,54
may,54
only,53
value:,53
its,53
\`Set&lt;EitherUnsafe&lt;L,\,52
\`TryOption&lt;Either&lt;L,\,52
\`Option&lt;Validation&lt;FAIL,\,52
\`HashSet&lt;EitherUnsafe&lt;L,\,52
\`Arr&lt;EitherUnsafe&lt;L,\,52
\`Seq&lt;EitherUnsafe&lt;L,\,52
\`Lst&lt;Validation&lt;FAIL,\,52
\`Arr&lt;Either&lt;L,\,52
\`Lst&lt;Either&lt;L,\,52
\`OptionUnsafe&lt;Either&lt;L,\,52
has,52
\`Try&lt;EitherUnsafe&lt;L,\,52
\`Try&lt;Validation&lt;FAIL,\,52
\`IEnumerable&lt;Validation&lt;FAIL,\,52
\`OptionUnsafe&lt;EitherUnsafe&lt;L,\,52
\`Option&lt;Either&lt;L,\,52
\`TryOption&lt;Validation&lt;FAIL,\,52
\`Lst&lt;EitherUnsafe&lt;L,\,52
concat,52
\`Try&lt;Either&lt;L,\,52
\`IEnumerable&lt;Either&lt;L,\,52
check</param>,52
\`Seq&lt;Either&lt;L,\,52
\name="\Fail"\>Fold\,52
\`Option&lt;EitherUnsafe&lt;L,\,52
\`HashSet&lt;Validation&lt;FAIL,\,52
\`TryOption&lt;EitherUnsafe&lt;L,\,52
\`Arr&lt;Validation&lt;FAIL,\,52
\`HashSet&lt;Either&lt;L,\,52
\`Seq&lt;Validation&lt;FAIL,\,52
\name="\B"\>Return\,52
parses,52
\`Set&lt;Validation&lt;FAIL,\,52
\`Set&lt;Either&lt;L,\,52
\`OptionUnsafe&lt;Validation&lt;FAIL,\,52
\`IEnumerable&lt;EitherUnsafe&lt;L,\,52
You,51
\otherwise,\,51
\`ma.Traverse<FAIL,\,51
</param>,51
provides,51
current,51
Extracts,51
Must,50
\name="\Some"\>Operation\,50
top,50
Try(x),50
setB,50
Try(y),50
WriteCodeFragment,49
Generated,49
fluent,49
existing,49
should,49
MSBuild,49
\name="\either"\>Either\,49
<auto-generated>,49
</auto-generated>,49
TryAsync,49
useful,49
returning,49
inference,49
Set,49
component,49
at,49
up,48
find,48
Success</param>,48
convert,48
A</typeparam>,48
Failure</param>,48
predicate</param>,48
superset,48
Product,48
<returns></returns>,48
Append,48
x),48
exist</exception>,48
public,48
'other',48
FC,48
C</returns>,48
Better,48
<remarks>Will,47
f,47
\name="\R"\>The\,47
Succ,47
(from,47
source,47
\name="\T"\>sequence\,47
structure</returns>,47
KeyValuePairs,46
Is,46
we,46
override,46
Divide,45
return</typeparam>,45
Sum,45
used,45
\name="\y"\>right\,45
<remarks>,45
without,45
\name="\f"\>Function\,45
\name="\x"\>left\,45
removed</returns>,44
function</remarks>,44
documentation,44
invoked,44
Partial,44
Generate,44
patch,44
<remarks>TODO:,44
order),44
character,44
use</param>,44
<returns>Result,43
TryOption&lt;B&gt;&gt;`,43
Lst&lt;B&gt;&gt;`,43
bitwise,43
HashSet&lt;B&gt;&gt;`,43
Option&lt;B&gt;&gt;`,43
OptionUnsafe&lt;B&gt;&gt;`,43
Set&lt;B&gt;&gt;`,43
Try&lt;B&gt;&gt;`,43
Arr&lt;B&gt;&gt;`,43
Seq&lt;B&gt;&gt;`,43
stream,42
state),42
\name="\action"\>Action\,42
\name="\rhs"\>The\,42
\name="\lhs"\>The\,42
64-bit,42
system,42
against</param>,42
serialisation,42
aren't,41
called,41
TryOptionAsync,41
bottom,41
Nullable,41
being,41
put,41
L</returns>,40
\name="\Some"\>Folder\,40
\name="\self"\>computation</param>\,40
\name="\None"\>Folder\,40
*any*,40
map</exception>,40
\`Task&lt;EitherAsync&lt;L,\,40
was,40
signed,40
Tuples,40
foldable</param>,40
transformer,40
proper,40
Comparison,40
tree,40
allows,40
would,40
\`TryAsync&lt;EitherAsync&lt;L,\,40
instead,40
\`OptionAsync&lt;EitherAsync&lt;L,\,40
functions</param>,40
\`TryOptionAsync&lt;EitherAsync&lt;L,\,40
compare</param>,39
IEnumerable&lt;B&gt;&gt;`,39
accept,39
don't,38
Tests,38
method,38
\name="\list"\>sequence\,38
check,38
May,38
T</returns>,38
\exist,\,38
Represents,38
setA,38
behavior,37
have,37
working,37
area,37
Func,37
Action,37
cause,37
parameter,37
`Arr&lt;Lst&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;Option&lt;A&gt;&gt;`,36
`Try&lt;Lst&lt;A&gt;&gt;`,36
`Option&lt;Lst&lt;A&gt;&gt;`,36
`Try&lt;TryOption&lt;A&gt;&gt;`,36
`Lst&lt;Option&lt;A&gt;&gt;`,36
`Seq&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`Try&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`Lst&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`Lst&lt;Arr&lt;A&gt;&gt;`,36
`Seq&lt;Set&lt;A&gt;&gt;`,36
`Lst&lt;Lst&lt;A&gt;&gt;`,36
`IEnumerable&lt;Seq&lt;A&gt;&gt;`,36
`IEnumerable&lt;Set&lt;A&gt;&gt;`,36
generated,36
`Seq&lt;TryOption&lt;A&gt;&gt;`,36
`TryOption&lt;Arr&lt;A&gt;&gt;`,36
`Try&lt;Seq&lt;A&gt;&gt;`,36
`HashSet&lt;HashSet&lt;A&gt;&gt;`,36
`Seq&lt;Lst&lt;A&gt;&gt;`,36
`Arr&lt;TryOption&lt;A&gt;&gt;`,36
`Set&lt;Arr&lt;A&gt;&gt;`,36
`Try&lt;HashSet&lt;A&gt;&gt;`,36
`Arr&lt;HashSet&lt;A&gt;&gt;`,36
`Option&lt;Set&lt;A&gt;&gt;`,36
`Lst&lt;HashSet&lt;A&gt;&gt;`,36
functionality,36
`Seq&lt;Seq&lt;A&gt;&gt;`,36
`Option&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`Arr&lt;Arr&lt;A&gt;&gt;`,36
`TryOption&lt;Seq&lt;A&gt;&gt;`,36
`Seq&lt;Option&lt;A&gt;&gt;`,36
`Try&lt;Option&lt;A&gt;&gt;`,36
`Option&lt;HashSet&lt;A&gt;&gt;`,36
`Seq&lt;HashSet&lt;A&gt;&gt;`,36
`Arr&lt;Set&lt;A&gt;&gt;`,36
return</param>,36
`TryOption&lt;Try&lt;A&gt;&gt;`,36
`Arr&lt;Try&lt;A&gt;&gt;`,36
`Set&lt;Lst&lt;A&gt;&gt;`,36
Async,36
`Option&lt;TryOption&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;Arr&lt;A&gt;&gt;`,36
<returns>Found,36
`Arr&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`Set&lt;Set&lt;A&gt;&gt;`,36
`Try&lt;Try&lt;A&gt;&gt;`,36
`TryOption&lt;Set&lt;A&gt;&gt;`,36
`IEnumerable&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`Option&lt;Option&lt;A&gt;&gt;`,36
`TryOption&lt;Lst&lt;A&gt;&gt;`,36
`Option&lt;Seq&lt;A&gt;&gt;`,36
`HashSet&lt;Lst&lt;A&gt;&gt;`,36
`Lst&lt;Set&lt;A&gt;&gt;`,36
`HashSet&lt;Option&lt;A&gt;&gt;`,36
`Set&lt;Option&lt;A&gt;&gt;`,36
`HashSet&lt;Try&lt;A&gt;&gt;`,36
Num<A></returns>,36
`Lst&lt;Seq&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;Seq&lt;A&gt;&gt;`,36
file,36
`Set&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`IEnumerable&lt;Arr&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;Set&lt;A&gt;&gt;`,36
`IEnumerable&lt;Option&lt;A&gt;&gt;`,36
`Seq&lt;Try&lt;A&gt;&gt;`,36
`Set&lt;HashSet&lt;A&gt;&gt;`,36
`HashSet&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;TryOption&lt;A&gt;&gt;`,36
`HashSet&lt;Arr&lt;A&gt;&gt;`,36
`TryOption&lt;TryOption&lt;A&gt;&gt;`,36
`Arr&lt;Option&lt;A&gt;&gt;`,36
`IEnumerable&lt;Try&lt;A&gt;&gt;`,36
`Try&lt;Arr&lt;A&gt;&gt;`,36
`HashSet&lt;Set&lt;A&gt;&gt;`,36
`Seq&lt;Arr&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;Try&lt;A&gt;&gt;`,36
`Set&lt;Try&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;Lst&lt;A&gt;&gt;`,36
`Try&lt;Set&lt;A&gt;&gt;`,36
`TryOption&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`IEnumerable&lt;Lst&lt;A&gt;&gt;`,36
`HashSet&lt;Seq&lt;A&gt;&gt;`,36
`Arr&lt;Seq&lt;A&gt;&gt;`,36
`TryOption&lt;Option&lt;A&gt;&gt;`,36
`Lst&lt;TryOption&lt;A&gt;&gt;`,36
`Set&lt;Seq&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;HashSet&lt;A&gt;&gt;`,36
`Set&lt;TryOption&lt;A&gt;&gt;`,36
`HashSet&lt;TryOption&lt;A&gt;&gt;`,36
`IEnumerable&lt;HashSet&lt;A&gt;&gt;`,36
`OptionUnsafe&lt;OptionUnsafe&lt;A&gt;&gt;`,36
`TryOption&lt;HashSet&lt;A&gt;&gt;`,36
`Lst&lt;Try&lt;A&gt;&gt;`,36
`IEnumerable&lt;TryOption&lt;A&gt;&gt;`,36
`Option&lt;Arr&lt;A&gt;&gt;`,36
`Option&lt;Try&lt;A&gt;&gt;`,36
tool,35
\`TryOption&lt;EitherAsync&lt;L,\,35
\`Try&lt;EitherAsync&lt;L,\,35
Task,35
\`Set&lt;EitherAsync&lt;L,\,35
\`Option&lt;EitherAsync&lt;L,\,35
lost,35
\`OptionUnsafe&lt;EitherAsync&lt;L,\,35
\`Lst&lt;EitherAsync&lt;L,\,35
filter,35
\`Arr&lt;EitherAsync&lt;L,\,35
Changes,35
divide,35
happens,35
\name="\Right"\>Right\,35
incorrect,35
\key,\,35
regenerated,35
Version:4.0.30319.42000,35
\`Seq&lt;EitherAsync&lt;L,\,35
\`IEnumerable&lt;EitherAsync&lt;L,\,35
\`HashSet&lt;EitherAsync&lt;L,\,35
Runtime,35
absolute,35
\name="\Left"\>Left\,35
function</returns>,34
Subtract,34
\first),\,34
Executes,34
silently,34
duplicate,34
logarithm,34
A</param>,34
parsed,34
\name="\Left"\>Function\,33
exists,33
<,33
`Option&lt;IEnumerable&lt;A&gt;&gt;`,33
`Arr&lt;IEnumerable&lt;A&gt;&gt;`,33
dealing,33
None</param>,33
unsigned,33
Creates,33
`TryOption&lt;IEnumerable&lt;A&gt;&gt;`,33
\it,\,33
\B,\,33
`OptionUnsafe&lt;IEnumerable&lt;A&gt;&gt;`,33
`Try&lt;IEnumerable&lt;A&gt;&gt;`,33
`Lst&lt;IEnumerable&lt;A&gt;&gt;`,33
`Seq&lt;IEnumerable&lt;A&gt;&gt;`,33
ignoring,33
runs,33
`HashSet&lt;IEnumerable&lt;A&gt;&gt;`,33
`IEnumerable&lt;IEnumerable&lt;A&gt;&gt;`,33
`Set&lt;IEnumerable&lt;A&gt;&gt;`,33
putStr,32
(if,32
do:,32
\provided,\,32
subset,32
with</param>,32
\order,\,32
Checks,32
untyped,32
TryOption,32
IOptional,32
implementation,32
execute</param>,32
infer</param>,32
doing:,32
\lambdas,\,32
select,31
curried,31
foldable,31
computations,31
Number,31
Implicit,31
occurrences,31
as-is,31
promise,31
Length,31
rhs,31
Only,31
`TryAsync&lt;Task&lt;A&gt;&gt;`,30
One,30
\<returns>`TryOption&lt;Validation&lt;FAIL,\,30
\<returns>`Try&lt;Either&lt;L,\,30
\<returns>`Seq&lt;Validation&lt;FAIL,\,30
`TryAsync&lt;TryAsync&lt;A&gt;&gt;`,30
\<returns>`Try&lt;Validation&lt;FAIL,\,30
`TryAsync&lt;OptionAsync&lt;A&gt;&gt;`,30
\name="\setB"\>Set\,30
`OptionAsync&lt;Task&lt;A&gt;&gt;`,30
Remove,30
tangent,30
\<returns>`HashSet&lt;Either&lt;L,\,30
\<returns>`Set&lt;Either&lt;L,\,30
`TryAsync&lt;TryOptionAsync&lt;A&gt;&gt;`,30
\<returns>`Arr&lt;EitherUnsafe&lt;L,\,30
\<returns>`TryOption&lt;EitherUnsafe&lt;L,\,30
\name="\R"\>Resulting\,30
\<returns>`Lst&lt;Validation&lt;FAIL,\,30
\<returns>`HashSet&lt;Validation&lt;FAIL,\,30
\<returns>`Arr&lt;Validation&lt;FAIL,\,30
\<returns>`OptionUnsafe&lt;Validation&lt;FAIL,\,30
\<returns>`Arr&lt;Either&lt;L,\,30
Choice,30
`TryOptionAsync&lt;OptionAsync&lt;A&gt;&gt;`,30
\<returns>`Option&lt;Either&lt;L,\,30
\<returns>`Lst&lt;Either&lt;L,\,30
`Task&lt;OptionAsync&lt;A&gt;&gt;`,30
`OptionAsync&lt;TryAsync&lt;A&gt;&gt;`,30
`TryOptionAsync&lt;TryOptionAsync&lt;A&gt;&gt;`,30
\<returns>`Set&lt;Validation&lt;FAIL,\,30
`OptionAsync&lt;TryOptionAsync&lt;A&gt;&gt;`,30
\<returns>`IEnumerable&lt;Validation&lt;FAIL,\,30
\<returns>`Try&lt;EitherUnsafe&lt;L,\,30
\<returns>`Set&lt;EitherUnsafe&lt;L,\,30
\<returns>`OptionUnsafe&lt;EitherUnsafe&lt;L,\,30
pattern,30
\<returns>`Seq&lt;EitherUnsafe&lt;L,\,30
`TryOptionAsync&lt;Task&lt;A&gt;&gt;`,30
`OptionAsync&lt;OptionAsync&lt;A&gt;&gt;`,30
cosine,30
\<returns>`Option&lt;EitherUnsafe&lt;L,\,30
`Task&lt;Task&lt;A&gt;&gt;`,30
`TryOptionAsync&lt;TryAsync&lt;A&gt;&gt;`,30
replaced,30
\<returns>`Seq&lt;Either&lt;L,\,30
\<returns>`OptionUnsafe&lt;Either&lt;L,\,30
\name="\setA"\>Set\,30
\<returns>`IEnumerable&lt;Either&lt;L,\,30
just,30
`Task&lt;TryAsync&lt;A&gt;&gt;`,30
\<returns>`Option&lt;Validation&lt;FAIL,\,30
given,30
\<returns>`TryOption&lt;Either&lt;L,\,30
\<returns>`HashSet&lt;EitherUnsafe&lt;L,\,30
\failure,\,30
`Task&lt;TryOptionAsync&lt;A&gt;&gt;`,30
\<returns>`Lst&lt;EitherUnsafe&lt;L,\,30
\<returns>`IEnumerable&lt;EitherUnsafe&lt;L,\,30
void,29
first</param>,29
entire,29
Evaluate,29
\name="\A"\>Source\,29
\name="\stack"\>Stack</param>\,29
\fa,\,29
\fb,\,29
Either</returns>,29
fa,29
sequence</returns>,29
LINQ,29
(and,29
work,29
right;,28
3,28
represents,28
associative,28
<returns>Filtered,28
build,28
(because,28
\computation,\,28
also,28
<returns>Monad,28
operation</remarks>,28
Task&lt;B&gt;&gt;`,28
throw,28
\sequence,\,28
execute,28
Parses,28
double,28
containing,28
OptionAsync&lt;B&gt;&gt;`,28
R</returns>,28
[],28
convert</param>,28
Second,28
<returns>Tesult,28
TryAsync&lt;B&gt;&gt;`,28
TryOptionAsync&lt;B&gt;&gt;`,28
`OptionUnsafe&lt;Task&lt;A&gt;&gt;`,27
parsers,27
`IEnumerable&lt;OptionAsync&lt;A&gt;&gt;`,27
`Lst&lt;TryOptionAsync&lt;A&gt;&gt;`,27
`HashSet&lt;Task&lt;A&gt;&gt;`,27
`Set&lt;OptionAsync&lt;A&gt;&gt;`,27
`Set&lt;Task&lt;A&gt;&gt;`,27
`TryOption&lt;OptionAsync&lt;A&gt;&gt;`,27
`Arr&lt;TryAsync&lt;A&gt;&gt;`,27
`b`,27
`Try&lt;TryAsync&lt;A&gt;&gt;`,27
what,27
`HashSet&lt;TryOptionAsync&lt;A&gt;&gt;`,27
`Seq&lt;TryOptionAsync&lt;A&gt;&gt;`,27
numbers,27
`Seq&lt;TryAsync&lt;A&gt;&gt;`,27
`Arr&lt;TryOptionAsync&lt;A&gt;&gt;`,27
does,27
`Try&lt;TryOptionAsync&lt;A&gt;&gt;`,27
`IEnumerable&lt;TryOptionAsync&lt;A&gt;&gt;`,27
operators,27
`Lst&lt;TryAsync&lt;A&gt;&gt;`,27
`HashSet&lt;OptionAsync&lt;A&gt;&gt;`,27
\name="\R"\>Return\,27
`Option&lt;OptionAsync&lt;A&gt;&gt;`,27
`Option&lt;TryOptionAsync&lt;A&gt;&gt;`,27
`Arr&lt;OptionAsync&lt;A&gt;&gt;`,27
`Arr&lt;Task&lt;A&gt;&gt;`,27
`Option&lt;TryAsync&lt;A&gt;&gt;`,27
`Seq&lt;OptionAsync&lt;A&gt;&gt;`,27
`Option&lt;Task&lt;A&gt;&gt;`,27
`TryOption&lt;Task&lt;A&gt;&gt;`,27
`HashSet&lt;TryAsync&lt;A&gt;&gt;`,27
taking,27
`OptionUnsafe&lt;TryOptionAsync&lt;A&gt;&gt;`,27
<returns>1,27
\p,\,27
`TryOption&lt;TryAsync&lt;A&gt;&gt;`,27
filtered</returns>,27
`Set&lt;TryAsync&lt;A&gt;&gt;`,27
`Lst&lt;OptionAsync&lt;A&gt;&gt;`,27
`Lst&lt;Task&lt;A&gt;&gt;`,27
\name="\Succ"\>Fold\,27
\name="\stack"\>Stack\,27
`IEnumerable&lt;TryAsync&lt;A&gt;&gt;`,27
`OptionUnsafe&lt;OptionAsync&lt;A&gt;&gt;`,27
`TryOption&lt;TryOptionAsync&lt;A&gt;&gt;`,27
None/False,27
`OptionUnsafe&lt;TryAsync&lt;A&gt;&gt;`,27
\name="\Some"\>Fold\,27
`IEnumerable&lt;Task&lt;A&gt;&gt;`,27
`Set&lt;TryOptionAsync&lt;A&gt;&gt;`,27
`Seq&lt;Task&lt;A&gt;&gt;`,27
`Try&lt;OptionAsync&lt;A&gt;&gt;`,27
`Try&lt;Task&lt;A&gt;&gt;`,27
Structural,26
Generates,26
\name="\pred"\></param>\,26
sign,26
division,26
enumerator,26
noneValue,26
cok,26
B</param>,26
extra,26
Enumerable,26
state.</returns>,26
